OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,
565,Kings Christian Academy,St. Mary's,7,2/10/21,15:00:00+00
572,The Country School,Talbot,7,2/10/21,15:00:00+00
592,Calvary Baptist Church Academy,Anne Arundel,7,2/17/21,15:00:00+00
670,St. John's Catholic Preparatory School,Frederick,7,3/3/21,15:00:00+00
673,The Country School,Talbot,7,3/3/21,15:00:00+00
711,The Country School,Talbot,7,3/10/21,15:00:00+00
713,Westminster High School,Carroll,7,3/10/21,15:00:00+00
742,Boonsboro High School,Washington,7,3/17/21,15:00:00+00
769,Westminster High School,Carroll,7,3/17/21,15:00:00+00
909,Mechanicsville Elementary,Carroll,7,3/31/21,15:00:00+00
1055,Talmudical Academy Elementary School,Baltimore,7,4/13/21,15:00:00+00
1141,Towson High School,Baltimore,7,4/21/21,15:00:00+00
1176,St. Paul's School,Baltimore,7,4/28/21,15:00:00+00
1180,Towson High School,Baltimore,7,4/28/21,15:00:00+00
1195,Choptank Elementary School,Dorchester,7,5/5/21,15:00:00+00
1223,St. Paul's School,Baltimore,7,5/5/21,15:00:00+00
1254,Lighthouse Christian School,Allegany,7,5/12/21,15:00:00+00
1370,East Middle School,Carroll,7,5/19/21,15:00:00+00
1372,Lighthouse Christian School,Allegany,7,5/19/21,15:00:00+00
1391,East Middle School,Carroll,7,5/26/21,15:00:00+00
1457,Pemberton Elementary School,Wicomico,7,8/4/21,15:00:00+00
1545,Chopticon High School,St. Mary's,7,9/8/21,15:00:00+00
1547,Dr. Henry A. Wise Jr. High School,Prince George's,7,9/8/21,15:00:00+00
1656,Divine Mercy Academy,Anne Arundel,7,9/15/21,15:00:00+00
1682,Margaret Brent Middle School,St. Mary's,7,9/15/21,15:00:00+00
1700,Piney Point Elementary School,St. Mary's,7,9/15/21,15:00:00+00
1873,Centreville Middle School,Queen Anne's,7,9/29/21,15:00:00+00
1905,Greenwood Elementary School,Somerset,7,9/29/21,15:00:00+00
1920,Landon School,Montgomery,7,9/29/21,15:00:00+00
1931,Maryland International School of Sustainability and Technology,Washington,7,9/29/21,15:00:00+00
