OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,
701,Mount Saint Joseph High School,Baltimore City,4,3/10/21,15:00:00+00
702,Ner Israel Rabbinical College,Baltimore,4,3/10/21,15:00:00+00
704,Redeemer Classical Christian School,Baltimore,4,3/10/21,15:00:00+00
707,St. Maria Goretti High School,Washington,4,3/10/21,15:00:00+00
716,Yeshiva of Greater Washington,Montgomery,4,3/10/21,15:00:00+00
744,Bullis School,Montgomery,4,3/17/21,15:00:00+00
754,Mt. Aetna Adventist School,Washington,4,3/17/21,15:00:00+00
756,Ner Israel Rabbinical College,Baltimore,4,3/17/21,15:00:00+00
762,St. Maria Goretti High School,Washington,4,3/17/21,15:00:00+00
768,Walt Whitman High School,Montgomery,4,3/17/21,15:00:00+00
840,Frederick High School,Frederick,4,3/24/21,15:00:00+00
846,Mt. Aetna Adventist School,Washington,4,3/24/21,15:00:00+00
848,Parkside High School,Wicomico,4,3/24/21,15:00:00+00
855,Talmudical Academy - Elementary School,Baltimore,4,3/24/21,15:00:00+00
858,Walt Whitman High School,Montgomery,4,3/24/21,15:00:00+00
876,Parkside High School,Wicomico,4,3/24/21,15:00:00+00
911,Mt. Aetna Adventist School,Washington,4,3/31/21,15:00:00+00
916,Parkside High School,Wicomico,4,3/31/21,15:00:00+00
921,"Rochambeau, The French International School",Montgomery,4,3/31/21,15:00:00+00
936,Boys' Latin School of Maryland,Baltimore City,4,4/7/21,15:00:00+00
948,Holly Grove Christian School,Somerset,4,4/7/21,15:00:00+00
969,Stephen Decatur High School,Worcester,4,4/7/21,15:00:00+00
970,Talbot Springs Elementary School,Howard,4,4/7/21,15:00:00+00
1024,Boys' Latin School of Maryland,Baltimore City,4,4/13/21,15:00:00+00
1029,Concordia Preparatory School,Baltimore,4,4/13/21,15:00:00+00
1054,Talbott Springs Elementary School,Howard,4,4/13/21,15:00:00+00
1123,Paul Laurence Dunbar High School,Baltimore City,4,4/21/21,15:00:00+00
1125,Redeemer Classical Christian School,Baltimore,4,4/21/21,15:00:00+00
1127,River Hill High School,Howard,4,4/21/21,15:00:00+00
1129,Smithsburg High School,Washington,4,4/21/21,15:00:00+00
1132,Sparrow's Point High School,Baltimore,4,4/21/21,15:00:00+00
1134,St. Paul School for Girls,Baltimore,4,4/21/21,15:00:00+00
1156,Frederick High School,Frederick,4,4/28/21,15:00:00+00
1159,Leonardtown Middle School,St. Mary's,4,4/28/21,15:00:00+00
1173,Sparrow's Point High School,Baltimore,4,4/28/21,15:00:00+00
1181,Urbana High School,Frederick,4,4/28/21,15:00:00+00
1183,Bainbridge Elementary School,Cecil,4,5/5/21,15:00:00+00
1185,Barbara Ingram School,Washington,4,5/5/21,15:00:00+00
1188,Bethel Christian Academy,Howard,4,5/5/21,15:00:00+00
1198,Frederick High School,Frederick,4,5/5/21,15:00:00+00
1205,Leonardtown Middle School,St. Mary's,4,5/5/21,15:00:00+00
1206,Liberty High School,Carroll,4,5/5/21,15:00:00+00
1230,Urbana High School,Frederick,4,5/5/21,15:00:00+00
1237,Barbara Ingram School,Washington,4,5/12/21,15:00:00+00
1366,Crisfield High School,Somerset,4,5/19/21,15:00:00+00
1392,Harford Technical High School,Harford,4,5/26/21,15:00:00+00
1396,Seaside Christian Academy,Worcester,4,5/26/21,15:00:00+00
1398,South River High School,Anne Arundel,4,5/26/21,15:00:00+00
1402,Walkersville High School,Frederick,4,5/26/21,15:00:00+00
1428,Harford Technical High School,Harford,4,6/2/21,15:00:00+00
1430,South River High School,Anne Arundel,4,6/2/21,15:00:00+00
1434,Walkersville High School,Frederick,4,6/2/21,15:00:00+00
1458,Potomac Glen Day School,Montgomery,4,8/4/21,15:00:00+00
1493,Tuscarora High School,Frederick,4,8/25/21,15:00:00+00
1504,Dr. Henry A. Wise Jr. High School,Prince George's,4,9/1/21,15:00:00+00
1505,Frederick Christian Academy,Frederick,4,9/1/21,15:00:00+00
1513,Marriotts Ridge High School,Howard,4,9/1/21,15:00:00+00
1516,Parkside High School,Wicomico,4,9/1/21,15:00:00+00
1523,Steven Decatur High School,Worcester,4,9/1/21,15:00:00+00
1531,Allegany High School,Allegany,4,9/8/21,15:00:00+00
1533,Arundel Christian School,Anne Arundel,4,9/8/21,15:00:00+00
1535,Ballenger Creek Middle School,Frederick,4,9/8/21,15:00:00+00
1549,Fort Hill High School,Allegany,4,9/8/21,15:00:00+00
1550,Frederick Christian Academy,Frederick,4,9/8/21,15:00:00+00
1552,Glade Elementary School,Frederick,4,9/8/21,15:00:00+00
1561,Marriotts Ridge High School,Howard,4,9/8/21,15:00:00+00
1572,St. Paul's Lutheran School,Anne Arundel,4,9/8/21,15:00:00+00
1575,The Key School,Anne Arundel,4,9/8/21,15:00:00+00
1578,Walkersville High School,Frederick,4,9/8/21,15:00:00+00
1582,Woodlawn High School,Baltimore,4,9/8/21,15:00:00+00
1638,Ballenger Creek Middle School,Frederick,4,9/15/21,15:00:00+00
1645,Bryant Woods Elementary School,Howard,4,9/15/21,15:00:00+00
1650,Carter G Woodson Elementary,Somerset,4,9/15/21,15:00:00+00
1665,Friends School,Baltimore City,4,9/15/21,15:00:00+00
1666,Glade Elementary School,Frederick,4,9/15/21,15:00:00+00
1668,Great Mills High School,St. Mary's,4,9/15/21,15:00:00+00
1673,Harford Technical High School,Harford,4,9/15/21,15:00:00+00
1677,Kent Island High School,Queen Anne's,4,9/15/21,15:00:00+00
1679,Leonardtown Elementary School,St. Mary's,4,9/15/21,15:00:00+00
1714,St. Paul's Lutheran School,Anne Arundel,4,9/15/21,15:00:00+00
1860,Benjamin Foulois Creative & Performing Arts Academy,Prince George's,4,9/29/21,15:00:00+00
1864,Broadneck High School,Anne Arundel,4,9/29/21,15:00:00+00
1911,Harford Technical High School,Harford,4,9/29/21,15:00:00+00
1914,Hollywood Elementary School,St. Mary's,4,9/29/21,15:00:00+00
1915,James M Bennett High School,Wicomico,4,9/29/21,15:00:00+00
1916,Joppatowne Elementary,Harford,4,9/29/21,15:00:00+00
1918,Kent Island Elementary School,Queen Anne's,4,9/29/21,15:00:00+00
1922,Laurel Woods Elementary School,Howard,4,9/29/21,15:00:00+00
1928,Magothy River Middle School,Anne Arundel,4,9/29/21,15:00:00+00
1963,Phelps Luck Elementary School,Howard,4,9/29/21,15:00:00+00
1965,Pocomoke High School,Worcester,4,9/29/21,15:00:00+00
1969,Reservoir High School,Howard,4,9/29/21,15:00:00+00
1974,Running Brook Elementary School,Howard,4,9/29/21,15:00:00+00
1977,Seaside Christian Academy,Worcester,4,9/29/21,15:00:00+00
1993,St. James Academy,Baltimore,4,9/29/21,15:00:00+00
2007,Tuscarora Elementary School,Frederick,4,9/29/21,15:00:00+00
2008,University Park Elementary School,Prince George's,4,9/29/21,15:00:00+00
2014,Wilde Lake Middle School,Howard,4,9/29/21,15:00:00+00
2202,Cardinal Shehan,Baltimore City,4,10/6/21,15:00:00+00
2224,Dublin Elementary School,Harford,4,10/6/21,15:00:00+00
2229,Elmwood Elementary School,Baltimore,4,10/6/21,15:00:00+00
2247,Hollywood Elementary School,St. Mary's,4,10/6/21,15:00:00+00
2249,James M Bennett High School,Wicomico,4,10/6/21,15:00:00+00
2252,Joppatowne Elementary,Harford,4,10/6/21,15:00:00+00
2253,Kennard Elementary School,Queen Anne's,4,10/6/21,15:00:00+00
2257,La Plata High School,Charles,4,10/6/21,15:00:00+00
2259,Laurel Woods Elementary School,Howard,4,10/6/21,15:00:00+00
2266,Magothy River Middle School,Anne Arundel,4,10/6/21,15:00:00+00
2287,North Hagerstown High School,Washington,4,10/6/21,15:00:00+00
2307,Poolesville Elementary School,Montgomery,4,10/6/21,15:00:00+00
2312,Running Brook Elementary School,Howard,4,10/6/21,15:00:00+00
2314,Severn Elementary School,Anne Arundel,4,10/6/21,15:00:00+00
2322,South Hampton Middle School,Harford,4,10/6/21,15:00:00+00
2326,St Margaret Middle School,Harford,4,10/6/21,15:00:00+00
2333,Stemmers Run Middle School,Baltimore,4,10/6/21,15:00:00+00
2343,Vila Maria School,Baltimore,4,10/6/21,15:00:00+00
2349,White Marsh Elementary School,St. Mary's,4,10/6/21,15:00:00+00
2536,Bodkin Elementary School,Anne Arundel,4,10/13/21,15:00:00+00
2561,Deerfield Elementary School,Harford,4,10/13/21,15:00:00+00
2564,Dr. Thomas L. Higdon Elementary School,Charles,4,10/13/21,15:00:00+00
2565,Dublin Elementary School,Harford,4,10/13/21,15:00:00+00
2567,Elmwood Elementary School,Baltimore,4,10/13/21,15:00:00+00
2568,Emma K. Doub Elementary School,Washington,4,10/13/21,15:00:00+00
2569,Emmitsburg Elementary School,Frederick,4,10/13/21,15:00:00+00
2575,Frederick High School,Frederick,4,10/13/21,15:00:00+00
2584,Harford Technical High School,Harford,4,10/13/21,15:00:00+00
2590,James M. Bennett High School,Wicomico,4,10/13/21,15:00:00+00
2592,Joppatowne Elementary,Harford,4,10/13/21,15:00:00+00
2594,La Plata High School,Charles,4,10/13/21,15:00:00+00
2603,McDonogh School,Baltimore,4,10/13/21,15:00:00+00
2618,North Hagerstown High School,Washington,4,10/13/21,15:00:00+00
2639,Poolesville Elementary School,Montgomery,4,10/13/21,15:00:00+00
2644,Running Brook Elementary School,Howard,4,10/13/21,15:00:00+00
2653,St. Charles High School,Charles,4,10/13/21,15:00:00+00
2661,Stephen Decatur High School,Wicomico,4,10/13/21,15:00:00+00
2665,Talbott Spring Elementary School,Howard,4,10/13/21,15:00:00+00
2680,White Marsh Elementary School,St. Mary's,4,10/13/21,15:00:00+00
2697,Bodkin Elementary School,Anne Arundel,4,10/20/21,15:00:00+00
2699,Brunswick Elementary School,Frederick,4,10/20/21,15:00:00+00
2712,Deerfield Elementary School,Harford,4,10/20/21,15:00:00+00
2716,Dr. Thomas L. Higdon Elementary School,Charles,4,10/20/21,15:00:00+00
2717,Dublin Elementary School,Harford,4,10/20/21,15:00:00+00
2733,Hickory Elementary School,Harford,4,10/20/21,15:00:00+00
2737,Indian Creek School,Anne Arundel,4,10/20/21,15:00:00+00
2738,Joppatowne Elementary,Harford,4,10/20/21,15:00:00+00
2748,McDonogh School,Baltimore,4,10/20/21,15:00:00+00
2778,Poolesville Elementary School,Montgomery,4,10/20/21,15:00:00+00
2803,Stephen Decatur High School,Wicomico,4,10/20/21,15:00:00+00
2807,Talbott Spring Elementary School,Howard,4,10/20/21,15:00:00+00
2809,Thomson Estates Elementary School,Cecil,4,10/20/21,15:00:00+00
2820,Winand Elementary School,Baltimore,4,10/20/21,15:00:00+00
2822,Woodbridge Elementary School,Baltimore,4,10/20/21,15:00:00+00
2940,Stephen Decatur High School,Worcester,4,10/20/21,15:00:00+00
3,Brunswick Middle School,Frederick,3,10/29/20,14:00:00+00
6,Worcester Preparatory School,Worcester,3,10/29/20,14:00:00+00
7,Garrison Forrest Elementary,Baltimore,3,10/29/20,14:00:00+00
13,Worcester Preparatory School,Worcester,3,11/5/20,15:00:00+00
16,Gerstell Academy,Carroll,3,11/5/20,15:00:00+00
22,Carter G Woodson Elementary,Somerset,3,11/5/20,15:00:00+00
51,Gerstell Academy,Carroll,3,11/11/20,15:00:00+00
57,Woodson Elementary School,Somerset,3,11/11/20,15:00:00+00
69,Monsignor Slade Catholic School,Anne Arundel,3,11/11/20,15:00:00+00
72,Hagerstown High School,Washington,3,11/11/20,15:00:00+00
76,Gerstell Academy,Carroll,3,11/18/20,15:00:00+00
94,Truth Christian Academy,Washington,3,11/18/20,15:00:00+00
95,South Hagerstown High School,Washington,3,11/18/20,15:00:00+00
101,DeMatha Catholic High School,Prince George's,3,11/18/20,15:00:00+00
106,Yough Glades Elementary,Garrett,3,11/18/20,15:00:00+00
108,Open Bible Christian Academy,Baltimore,3,11/18/20,15:00:00+00
144,Bais Yaakov Eva Winer High School,Baltimore,3,11/25/20,15:00:00+00
153,John Archer School,Harford,3,11/25/20,15:00:00+00
168,Torah School of Greater Washington,Montgomery,3,11/25/20,15:00:00+00
169,Truth Christian Academy,Washington,3,11/25/20,15:00:00+00
171,Yough Glades Elementary,Garrett,3,11/25/20,15:00:00+00
179,John Archer School,Harford,3,12/2/20,15:00:00+00
191,Torah School of Greater Washington,Montgomery,3,12/2/20,15:00:00+00
192,Truth Christian Academy,Washington,3,12/2/20,15:00:00+00
194,Yough Glades Elementary,Garrett,3,12/2/20,15:00:00+00
231,Living Hope Christian School,Somerset,3,12/9/20,15:00:00+00
238,Torah School of Greater Washington - 10 year olds,Montgomery,3,12/9/20,15:00:00+00
240,Yough Glades Elementary,Garrett,3,12/9/20,15:00:00+00
276,Middletown Elementary School,Frederick,3,12/16/20,15:00:00+00
278,Mount Aviat Academy,Cecil,3,12/16/20,15:00:00+00
282,The Harbour School at Baltimore,Baltimore,3,12/16/20,15:00:00+00
284,Esperanza Middle School,St. Mary's,3,12/23/20,15:00:00+00
285,Fellowship Christian School,Montgomery,3,12/23/20,15:00:00+00
288,Most Blessed Sacrament Catholic School,Worcester,3,12/23/20,15:00:00+00
290,Our Lady of Mt. Carmel,Baltimore,3,12/23/20,15:00:00+00
291,Rosedale Baptist School,Baltimore,3,12/23/20,15:00:00+00
293,St. Mark's School,Baltimore,3,12/23/20,15:00:00+00
294,St. Mary's High School,Anne Arundel,3,12/23/20,15:00:00+00
297,The Harbour School at Baltimore,Baltimore,3,12/23/20,15:00:00+00
302,Esperanza Middle School,St. Mary's,3,12/30/20,15:00:00+00
305,Most Blessed Sacrament Catholic School,Worcester,3,12/30/20,15:00:00+00
308,Our Lady of Mt. Carmel,Baltimore,3,12/30/20,15:00:00+00
309,Rosedale Baptist School,Baltimore,3,12/30/20,15:00:00+00
311,St. Mark's School,Baltimore,3,12/30/20,15:00:00+00
312,St. Mary's High School,Anne Arundel,3,12/30/20,15:00:00+00
318,Esperanza Middle School,St. Mary's,3,1/6/21,15:00:00+00
321,Our Lady of Mt. Carmel,Baltimore,3,1/6/21,15:00:00+00
343,Esperanza Middle School,St. Mary's,3,1/13/21,15:00:00+00
382,Annapolis Area Christian School,Anne Arundel,3,1/20/21,15:00:00+00
384,Bais Yaakov School for Girls,Baltimore,3,1/20/21,15:00:00+00
391,School of Incarnation,Anne Arundel,3,1/20/21,15:00:00+00
394,The Harbour School,Anne Arundel,3,1/20/21,15:00:00+00
429,Annapolis Area Christian School,Anne Arundel,3,1/27/21,15:00:00+00
430,The Avalon School,Montgomery,3,1/27/21,15:00:00+00
432,Bais Yaakov Middle School,Baltimore,3,1/27/21,15:00:00+00
433,Bais Yaakov School for Girls,Baltimore,3,1/27/21,15:00:00+00
435,Brookewood School,Montgomery,3,1/27/21,15:00:00+00
441,Little Flower School,St. Mary's,3,1/27/21,15:00:00+00
509,Brookewood School,Montgomery,3,2/3/21,15:00:00+00
516,Little Flower School,St. Mary's,3,2/3/21,15:00:00+00
518,Our Lady of Mercy,Montgomery,3,2/3/21,15:00:00+00
524,St. Louis School,Howard,3,2/3/21,15:00:00+00
562,Charles E Smith Jewish Day School - Upper School,Montgomery,3,2/10/21,15:00:00+00
569,St. Louis School,Howard,3,2/10/21,15:00:00+00
591,Bethel Christian Academy,Howard,3,2/17/21,15:00:00+00
595,Charles E Smith Jewish Day School - Upper School,Montgomery,3,2/17/21,15:00:00+00
603,Talmudical Academy of Baltimore - High School,Baltimore,3,2/17/21,15:00:00+00
625,Bethel Christian Academy,Howard,3,2/24/21,15:00:00+00
657,Arundel Christian School,Anne Arundel,3,3/3/21,15:00:00+00
660,Calvert Hall College High School,Baltimore,3,3/3/21,15:00:00+00
666,Redeemer Classical Christian School,Baltimore,3,3/3/21,15:00:00+00
693,Arundel Christian School,Anne Arundel,3,3/10/21,15:00:00+00
708,St. Michael - St. Clement School,Baltimore,3,3/10/21,15:00:00+00
745,Clear Spring High School,Washington,3,3/17/21,15:00:00+00
746,Francis Scott Key Elementary School,Baltimore City,3,3/17/21,15:00:00+00
748,The John Carroll School,Harford,3,3/17/21,15:00:00+00
751,Lincolnshire Elementary,Washington,3,3/17/21,15:00:00+00
752,Manchester Valley High School,Carroll,3,3/17/21,15:00:00+00
763,St. Michael- St. Clement School,Baltimore,3,3/17/21,15:00:00+00
838,Clear Spring High School,Washington,3,3/24/21,15:00:00+00
839,Francis Scott Key Elementary School,Baltimore City,3,3/24/21,15:00:00+00
842,The John Carroll School,Harford,3,3/24/21,15:00:00+00
843,KIPP Harmony Academy,Baltimore City,3,3/24/21,15:00:00+00
844,Lincolnshire Elementary,Washington,3,3/24/21,15:00:00+00
845,Manchester Valley High School,Carroll,3,3/24/21,15:00:00+00
851,Snow Hill Middle School,Worcester,3,3/24/21,15:00:00+00
863,Winter's Mill High School,Carroll,3,3/24/21,15:00:00+00
879,Snow Hill Middle School,Worcester,3,3/24/21,15:00:00+00
894,Bohemia Manor High School,Cecil,3,3/31/21,15:00:00+00
897,Calvert Hall College High School,Baltimore,3,3/31/21,15:00:00+00
898,Cecil County School of Technology,Cecil,3,3/31/21,15:00:00+00
899,Century High School,Carroll,3,3/31/21,15:00:00+00
906,The John Carroll School,Harford,3,3/31/21,15:00:00+00
914,Our Lady of Good Counsel High School,Montgomery,3,3/31/21,15:00:00+00
928,Walkersville High School,Frederick,3,3/31/21,15:00:00+00
934,Bohemia Manor High School,Cecil,3,4/7/21,15:00:00+00
939,Cecil County School of Technology,Cecil,3,4/7/21,15:00:00+00
940,Century High School,Carroll,3,4/7/21,15:00:00+00
941,Concordia Preparatory School,Baltimore,3,4/7/21,15:00:00+00
954,McDonogh School,Baltimore,3,4/7/21,15:00:00+00
956,North Caroline High School,Caroline,3,4/7/21,15:00:00+00
960,Our Lady of Good Counsel High School,Montgomery,3,4/7/21,15:00:00+00
961,Our Lady of Lourdes School - 4th Grade,Montgomery,3,4/7/21,15:00:00+00
963,Pleasant Valley Elementary,Washington,3,4/7/21,15:00:00+00
1022,Bellows Spring Elementary School,Howard,3,4/13/21,15:00:00+00
1027,Century High School,Carroll,3,4/13/21,15:00:00+00
1030,Eastern Elementary School,Washington,3,4/13/21,15:00:00+00
1031,Eastern Technical High School,Baltimore,3,4/13/21,15:00:00+00
1032,Forest Lakes Elementary School,Harford,3,4/13/21,15:00:00+00
1038,Mace's Lane Middle School,Dorchester,3,4/13/21,15:00:00+00
1040,McDonogh School,Baltimore,3,4/13/21,15:00:00+00
1041,North Caroline High School,Caroline,3,4/13/21,15:00:00+00
1043,Our Lady of Lourdes School,Montgomery,3,4/13/21,15:00:00+00
1045,Patterson Mill Middle High School,Harford,3,4/13/21,15:00:00+00
1105,Centreville Middle School,Queen Anne's,3,4/21/21,15:00:00+00
1106,Chopticon High School,St. Mary's,3,4/21/21,15:00:00+00
1108,Eastern Elementary School,Washington,3,4/21/21,15:00:00+00
1110,Forest Lakes Elementary School,Harford,3,4/21/21,15:00:00+00
1115,Lincolnshire Elementary School,Washington,3,4/21/21,15:00:00+00
1120,North Caroline High School,Caroline,3,4/21/21,15:00:00+00
1122,Patterson Mill Middle High School,Harford,3,4/21/21,15:00:00+00
1128,Rosedale Baptist School,Baltimore,3,4/21/21,15:00:00+00
1135,St. Paul's School,Baltimore,3,4/21/21,15:00:00+00
1138,The Heights School,Montgomery,3,4/21/21,15:00:00+00
1147,Broadfording Christian Academy,Washington,3,4/28/21,15:00:00+00
1151,Centreville Middle School,Queen Anne's,3,4/28/21,15:00:00+00
1170,Scotts Branch Elementary School,Baltimore,3,4/28/21,15:00:00+00
1190,Calvary Christian Academy,Allegany,3,5/5/21,15:00:00+00
1219,Scotts Branch Elementary School,Baltimore,3,5/5/21,15:00:00+00
1227,Talmudical Academy Elementary School,Baltimore,3,5/5/21,15:00:00+00
1228,The SEED School,Baltimore City,3,5/5/21,15:00:00+00
1232,Westminster High School,Carroll,3,5/5/21,15:00:00+00
1234,Youth Benefit Elementary School,Harford,3,5/5/21,15:00:00+00
1240,Brunswick High School,Frederick,3,5/12/21,15:00:00+00
1268,Talmudical Academy Middle School,Baltimore,3,5/12/21,15:00:00+00
1273,Westminster High School,Carroll,3,5/12/21,15:00:00+00
1275,Youth Benefit Elementary School,Harford,3,5/12/21,15:00:00+00
1362,Applications and Research Laboratory,Howard,3,5/19/21,15:00:00+00
1365,Brunswick High School,Frederick,3,5/19/21,15:00:00+00
1383,Winters Mill High School,Carroll,3,5/19/21,15:00:00+00
1384,Applications and Research Laboratory,Howard,3,5/26/21,15:00:00+00
1385,Bais Yaakov Eva Winer High School,Baltimore,3,5/26/21,15:00:00+00
1427,E. Russell Hicks Middle School,Washington,3,6/2/21,15:00:00+00
1432,St. Augustine School,Howard,3,6/2/21,15:00:00+00
1438,E. Russell Hicks Middle School,Washington,3,6/9/21,15:00:00+00
1441,St. Augustine School,Howard,3,6/9/21,15:00:00+00
1445,Hebbville Elementary School,Baltimore,3,1/1/00,15:00:00+00
1446,Hebbville Elementary School,Baltimore,3,6/30/21,15:00:00+00
1455,Ivymount School,Montgomery,3,8/4/21,15:00:00+00
1463,Ivymount School,Montgomery,3,8/11/21,15:00:00+00
1478,Winfield Elementary School,Carroll,3,8/18/21,15:00:00+00
1483,Lewistown Elementary School,Frederick,3,8/25/21,15:00:00+00
1496,Winfield Elementary School,Carroll,3,8/25/21,15:00:00+00
1498,Bullis School - Football Team,Montgomery,3,9/1/21,15:00:00+00
1500,Carroll Manor Elementary School,Frederick,3,9/1/21,15:00:00+00
1508,Hancock Middle-Senior High School,Washington,3,9/1/21,15:00:00+00
1519,Reid Temple Academy,Prince George's,3,9/1/21,15:00:00+00
1521,South Carroll High School,Carroll,3,9/1/21,15:00:00+00
1522,St. John's School,St. Mary's,3,9/1/21,15:00:00+00
1528,Walkersville High School,Frederick,3,9/1/21,15:00:00+00
1530,Wicomico Day School,Wicomico,3,9/1/21,15:00:00+00
1537,Bohemia Manor High School,Cecil,3,9/8/21,15:00:00+00
1542,C. Milton Wright High School,Harford,3,9/8/21,15:00:00+00
1543,Carroll Manor Elementary School,Frederick,3,9/8/21,15:00:00+00
1553,Glen Burnie High School,Anne Arundel,3,9/8/21,15:00:00+00
1555,Hancock Middle-Senior High School,Washington,3,9/8/21,15:00:00+00
1557,Kent Island High School,Queen Anne's,3,9/8/21,15:00:00+00
1560,Linganore High School,Frederick,3,9/8/21,15:00:00+00
1562,Monocacy Elementary School,Frederick,3,9/8/21,15:00:00+00
1568,Reid Temple Academy,Prince George's,3,9/8/21,15:00:00+00
1640,Bohemia Manor High School,Cecil,3,9/15/21,15:00:00+00
1647,C. Milton Wright High School,Harford,3,9/15/21,15:00:00+00
1654,Columbia Academy Elementary and Middle School,Howard,3,9/15/21,15:00:00+00
1667,Glen Burnie High School,Anne Arundel,3,9/15/21,15:00:00+00
1671,Hammond Elementary School,Howard,3,9/15/21,15:00:00+00
1685,Milford Mill Academy,Baltimore,3,9/15/21,15:00:00+00
1686,Monocacy Elementary School,Frederick,3,9/15/21,15:00:00+00
1698,Patapsco High School,Baltimore,3,9/15/21,15:00:00+00
1702,Ridgely Elementary School,Caroline,3,9/15/21,15:00:00+00
1711,St. John Regional Catholic School,Frederick,3,9/15/21,15:00:00+00
1715,St. Philip-Neri School,Anne Arundel,3,9/15/21,15:00:00+00
1726,Washington Middle School,Allegany,3,9/15/21,15:00:00+00
1729,Worcester Preparatory School,Worcester,3,9/15/21,15:00:00+00
1865,Brooklyn Park Elementary School,Anne Arundel,3,9/29/21,15:00:00+00
1879,Columbia Academy Elementary and Middle School,Howard,3,9/29/21,15:00:00+00
1880,Corkran Middle School,Anne Arundel,3,9/29/21,15:00:00+00
1881,Cradle Rock Elementary,Howard,3,9/29/21,15:00:00+00
1884,Crossroads Center School,Baltimore,3,9/29/21,15:00:00+00
1885,Damascus High School,Montgomery,3,9/29/21,15:00:00+00
1891,Easton Elementary School,Talbot,3,9/29/21,15:00:00+00
1897,Forest Ridge Elementary School,Howard,3,9/29/21,15:00:00+00
1901,Good Shepard Catholic School,Cecil,3,9/29/21,15:00:00+00
1902,Governor Thomas Johnson High School,Frederick,3,9/29/21,15:00:00+00
1919,Kingsville Elementary School,Baltimore,3,9/29/21,15:00:00+00
1934,Middletown Primary School,Frederick,3,9/29/21,15:00:00+00
1936,Most Blessed Sacrament,Worcester,3,9/29/21,15:00:00+00
1958,Old Mill Middle School,Anne Arundel,3,9/29/21,15:00:00+00
1970,Ridgely Middle School,Baltimore,3,9/29/21,15:00:00+00
1973,Robert Frost Middle School,Montgomery,3,9/29/21,15:00:00+00
1975,Salisbury Christian School,Wicomico,3,9/29/21,15:00:00+00
1982,Silver Oak Academy,Carroll,3,9/29/21,15:00:00+00
1985,Solley Elementary School,Anne Arundel,3,9/29/21,15:00:00+00
1989,Southern Middle School,Garrett,3,9/29/21,15:00:00+00
1992,St Margaret Middle School,Harford,3,9/29/21,15:00:00+00
1999,St. Philip-Neri School,Anne Arundel,3,9/29/21,15:00:00+00
2002,T.C. Martin Elementary School,Charles,3,9/29/21,15:00:00+00
2186,Beall Elementary School,Allegany,3,10/6/21,15:00:00+00
2187,Bel Air Elementary,Allegany,3,10/6/21,15:00:00+00
2192,Bohemian Manor High School,Cecil,3,10/6/21,15:00:00+00
2212,Clear Spring High School,Washington,3,10/6/21,15:00:00+00
2215,Columbia Academy Elementary and Middle School,Howard,3,10/6/21,15:00:00+00
2216,Cradle Rock Elementary,Howard,3,10/6/21,15:00:00+00
2221,Damascus High School,Montgomery,3,10/6/21,15:00:00+00
2222,Diamond Elementary School,Montgomery,3,10/6/21,15:00:00+00
2227,Easton Elementary School,Talbot,3,10/6/21,15:00:00+00
2256,Kingsville Elementary School,Baltimore,3,10/6/21,15:00:00+00
2264,Logan Elementary,Baltimore,3,10/6/21,15:00:00+00
2265,Lutherville Laboratory,Baltimore,3,10/6/21,15:00:00+00
2272,Mechanicsville Elementary School,Carroll,3,10/6/21,15:00:00+00
2311,Robert Frost Middle School,Montgomery,3,10/6/21,15:00:00+00
2320,Solley Elementary School,Anne Arundel,3,10/6/21,15:00:00+00
2323,Southern Middle School,Garrett,3,10/6/21,15:00:00+00
2336,The Arrow School of Education,Baltimore,3,10/6/21,15:00:00+00
2347,West Friendship Elementary School,Howard,3,10/6/21,15:00:00+00
2530,Annapolis Area Christian School - Lower School Annapolis,Anne Arundel,3,10/13/21,15:00:00+00
2532,Beach Elementary School,Calvert,3,10/13/21,15:00:00+00
2533,Bel Air Elementary School,Allegany,3,10/13/21,15:00:00+00
2537,Bohemian Manor High School,Cecil,3,10/13/21,15:00:00+00
2540,Brooklyn Park Middle School,Anne Arundel,3,10/13/21,15:00:00+00
2555,Clemens Crossing Elementary School,Howard,3,10/13/21,15:00:00+00
2557,Columbia Academy Elementary and Middle School,Howard,3,10/13/21,15:00:00+00
2562,Diamond Elementary School,Montgomery,3,10/13/21,15:00:00+00
2566,Easton Elementary School,Talbot,3,10/13/21,15:00:00+00
2572,Forbush School at Hunt Valley (Sheppard Pratt),Baltimore,3,10/13/21,15:00:00+00
2598,Logan Elementary,Baltimore,3,10/13/21,15:00:00+00
2599,Lothian Elementary,Anne Arundel,3,10/13/21,15:00:00+00
2600,Lutherville Laboratory,Baltimore,3,10/13/21,15:00:00+00
2604,Mechanicsville Elementary School,Carroll,3,10/13/21,15:00:00+00
2608,Mother Mary Lange Catholic School,Baltimore City,3,10/13/21,15:00:00+00
2638,Point Pleasant Elementary School,Anne Arundel,3,10/13/21,15:00:00+00
2642,Ridge Elementary,St. Mary's,3,10/13/21,15:00:00+00
2656,St. Louis School,Howard,3,10/13/21,15:00:00+00
2663,Sugarloaf Elementary School,Frederick,3,10/13/21,15:00:00+00
2667,The Arrow School of Education,Baltimore,3,10/13/21,15:00:00+00
2677,West Friendship Elementary School,Howard,3,10/13/21,15:00:00+00
2689,Annapolis Area Christian School - Lower School Annapolis,Anne Arundel,3,10/20/21,15:00:00+00
